Price,Close,High,Low,Open,Volume
Ticker,PLN=X,PLN=X,PLN=X,PLN=X,PLN=X
Date,,,,,
2019-01-01,3.740299940109253,3.7528998851776123,3.727099895477295,3.745500087738037,0
2019-01-02,3.7400999069213867,3.7851600646972656,3.7295000553131104,3.7407000064849854,0
2019-01-03,3.7976999282836914,3.7995998859405518,3.762089967727661,3.7995998859405518,0
2019-01-04,3.7655999660491943,3.7852699756622314,3.7553699016571045,3.7655200958251953,0
2019-01-07,3.7603800296783447,3.7623000144958496,3.7430200576782227,3.7613000869750977,0
2019-01-08,3.74111008644104,3.766710042953491,3.740220069885254,3.742300033569336,0
2019-01-09,3.75,3.7564098834991455,3.720789909362793,3.748349905014038,0
2019-01-10,3.722899913787842,3.737060070037842,3.7171499729156494,3.721950054168701,0
2019-01-11,3.7322299480438232,3.747689962387085,3.721100091934204,3.7302401065826416,0
2019-01-14,3.743259906768799,3.7516300678253174,3.735830068588257,3.7429800033569336,0
2019-01-15,3.738529920578003,3.7723000049591064,3.7337000370025635,3.739989995956421,0
2019-01-16,3.759429931640625,3.7674999237060547,3.751349925994873,3.758049964904785,0
2019-01-17,3.7555201053619385,3.7695000171661377,3.754149913787842,3.7560999393463135,0
2019-01-18,3.762589931488037,3.778049945831299,3.759160041809082,3.761470079421997,0
2019-01-21,3.7737998962402344,3.7781100273132324,3.7642300128936768,3.772209882736206,0
2019-01-22,3.767199993133545,3.778549909591675,3.7662999629974365,3.7672998905181885,0
2019-01-23,3.7715001106262207,3.7783000469207764,3.765429973602295,3.770699977874756,0
2019-01-24,3.7669999599456787,3.7903199195861816,3.764899969100952,3.7654500007629395,0
2019-01-25,3.7901999950408936,3.7915000915527344,3.755160093307495,3.789799928665161,0
2019-01-28,3.7549500465393066,3.7685699462890625,3.748430013656616,3.75504994392395,0
2019-01-29,3.7546401023864746,3.763700008392334,3.748039960861206,3.755000114440918,0
2019-01-30,3.7546401023864746,3.759740114212036,3.748460054397583,3.7546000480651855,0
2019-01-31,3.72979998588562,3.7327001094818115,3.7069900035858154,3.729979991912842,0
2019-02-01,3.723400115966797,3.739300012588501,3.719170093536377,3.7222900390625,0
2019-02-04,3.7391300201416016,3.751499891281128,3.735490083694458,3.7385499477386475,0
2019-02-05,3.745990037918091,3.759999990463257,3.7446000576019287,3.7452499866485596,0
2019-02-06,3.757200002670288,3.775899887084961,3.75600004196167,3.7565500736236572,0
2019-02-07,3.778670072555542,3.796299934387207,3.7784900665283203,3.7784900665283203,0
2019-02-08,3.7972099781036377,3.809109926223755,3.793210029602051,3.7967898845672607,0
2019-02-11,3.8059499263763428,3.8359999656677246,3.8022499084472656,3.8073999881744385,0
2019-02-12,3.83270001411438,3.8434998989105225,3.8255701065063477,3.83270001411438,0
2019-02-13,3.8174800872802734,3.8427000045776367,3.813800096511841,3.817500114440918,0
2019-02-14,3.850800037384033,3.85863995552063,3.8344500064849854,3.850250005722046,0
2019-02-15,3.832900047302246,3.8561298847198486,3.8296499252319336,3.8333001136779785,0
2019-02-18,3.8336000442504883,3.8340001106262207,3.8189499378204346,3.8340001106262207,0
2019-02-19,3.8276000022888184,3.8448400497436523,3.819159984588623,3.827049970626831,0
2019-02-20,3.8174500465393066,3.8324999809265137,3.809890031814575,3.817150115966797,0
2019-02-21,3.816999912261963,3.8313000202178955,3.80853009223938,3.8162500858306885,0
2019-02-22,3.820319890975952,3.830980062484741,3.815079927444458,3.8210999965667725,0
2019-02-25,3.8262999057769775,3.8271000385284424,3.812350034713745,3.8261799812316895,0
2019-02-26,3.815840005874634,3.8229000568389893,3.798919916152954,3.818000078201294,0
2019-02-27,3.7939000129699707,3.804800033569336,3.7843899726867676,3.7931699752807617,0
2019-02-28,3.790800094604492,3.795720100402832,3.7712199687957764,3.790750026702881,0
2019-03-01,3.783099889755249,3.7922000885009766,3.7724499702453613,3.78275990486145,0
2019-03-04,3.7841999530792236,3.801409959793091,3.783560037612915,3.783560037612915,0
2019-03-05,3.7892000675201416,3.8055500984191895,3.789220094680786,3.790299892425537,0
2019-03-06,3.802649974822998,3.8096001148223877,3.794329881668091,3.8041000366210938,0
2019-03-07,3.7985599040985107,3.846679925918579,3.7976601123809814,3.7995998859405518,0
2019-03-08,3.8522000312805176,3.856100082397461,3.821460008621216,3.851900100708008,0
2019-03-11,3.829400062561035,3.83240008354187,3.8166699409484863,3.829699993133545,0
2019-03-12,3.819200038909912,3.8249199390411377,3.803730010986328,3.8184900283813477,0
2019-03-13,3.808150053024292,3.812999963760376,3.799069881439209,3.8090999126434326,0
2019-03-14,3.793600082397461,3.8097000122070312,3.7927799224853516,3.7930500507354736,0
2019-03-15,3.804349899291992,3.8078999519348145,3.790950059890747,3.804919958114624,0
2019-03-18,3.7976999282836914,3.798799991607666,3.783129930496216,3.797600030899048,0
2019-03-19,3.7860000133514404,3.7873001098632812,3.772599935531616,3.78629994392395,0
2019-03-20,3.77524995803833,3.781100034713745,3.766050100326538,3.776700019836426,0
2019-03-21,3.743259906768799,3.7695600986480713,3.7396700382232666,3.743499994277954,0
2019-03-22,3.766550064086914,3.813199996948242,3.7568399906158447,3.767899990081787,0
2019-03-25,3.8055999279022217,3.8078999519348145,3.786449909210205,3.8057000637054443,0
2019-03-26,3.7915101051330566,3.8048501014709473,3.789210081100464,3.7920401096343994,0
2019-03-27,3.8044700622558594,3.820199966430664,3.804529905319214,3.804529905319214,0
2019-03-28,3.814300060272217,3.8304998874664307,3.8120501041412354,3.8146800994873047,0
2019-03-29,3.8245999813079834,3.837399959564209,3.8187499046325684,3.824589967727661,0
2019-04-01,3.832200050354004,3.8350000381469727,3.821929931640625,3.8327999114990234,0
2019-04-02,3.834399938583374,3.843600034713745,3.829200029373169,3.8336501121520996,0
2019-04-03,3.834700107574463,3.835400104522705,3.8097400665283203,3.835200071334839,0
2019-04-04,3.8162999153137207,3.829400062561035,3.8124499320983887,3.816200017929077,0
2019-04-05,3.822499990463257,3.828000068664551,3.8121700286865234,3.8222999572753906,0
2019-04-08,3.824399948120117,3.826200008392334,3.800570011138916,3.822999954223633,0
2019-04-09,3.808000087738037,3.808300018310547,3.7962000370025635,3.8079700469970703,0
2019-04-10,3.8032000064849854,3.8113200664520264,3.7948200702667236,3.8036000728607178,0
2019-04-11,3.794800043106079,3.804800033569336,3.79052996635437,3.796099901199341,0
2019-04-12,3.8027100563049316,3.8046998977661133,3.7750000953674316,3.8035500049591064,0
2019-04-15,3.784899950027466,3.7864999771118164,3.7745399475097656,3.7842700481414795,0
2019-04-16,3.781100034713745,3.7874600887298584,3.77620005607605,3.7813000679016113,0
2019-04-17,3.7860000133514404,3.789099931716919,3.773129940032959,3.7860100269317627,0
2019-04-18,3.7796499729156494,3.8092000484466553,3.7772700786590576,3.779400110244751,0
2019-04-19,3.8076000213623047,3.808799982070923,3.800679922103882,3.8076999187469482,0
2019-04-22,3.804800033569336,3.8087000846862793,3.802150011062622,3.8060998916625977,0
2019-04-23,3.804450035095215,3.831049919128418,3.805500030517578,3.805500030517578,0
2019-04-24,3.8170900344848633,3.8385000228881836,3.8148601055145264,3.817650079727173,0
2019-04-25,3.851799964904785,3.863300085067749,3.845329999923706,3.851900100708008,0
2019-04-26,3.8526999950408936,3.856800079345703,3.8395700454711914,3.8533999919891357,0
2019-04-29,3.852260112762451,3.8541998863220215,3.8432300090789795,3.8533999919891357,0
2019-04-30,3.837599992752075,3.8422999382019043,3.8142099380493164,3.8380000591278076,0
2019-05-01,3.8203999996185303,3.822499990463257,3.8025500774383545,3.821000099182129,0
2019-05-02,3.824399948120117,3.8338000774383545,3.814300060272217,3.8242099285125732,0
2019-05-03,3.836899995803833,3.847399950027466,3.820349931716919,3.8375000953674316,0
2019-05-06,3.8287999629974365,3.831399917602539,3.8217499256134033,3.8282999992370605,0
2019-05-07,3.8232500553131104,3.839329957962036,3.81754994392395,3.823499917984009,0
2019-05-08,3.832050085067749,3.8354499340057373,3.8244099617004395,3.832900047302246,0
2019-05-09,3.833199977874756,3.845599889755249,3.8206799030303955,3.83240008354187,0
2019-05-10,3.8308000564575195,3.831700086593628,3.8185598850250244,3.8308498859405518,0
2019-05-13,3.8257501125335693,3.8364999294281006,3.818850040435791,3.8234500885009766,0
2019-05-14,3.8338000774383545,3.8452999591827393,3.827549934387207,3.8338000774383545,0
2019-05-15,3.8447999954223633,3.8552000522613525,3.835249900817871,3.8443799018859863,0
2019-05-16,3.8358500003814697,3.8483400344848633,3.8234798908233643,3.835900068283081,0
2019-05-17,3.850399971008301,3.859800100326538,3.8456099033355713,3.849100112915039,0
2019-05-20,3.8564000129699707,3.859600067138672,3.8452000617980957,3.8555500507354736,0
2019-05-21,3.848099946975708,3.866300106048584,3.8468000888824463,3.847599983215332,0
2019-05-23,3.858299970626831,3.8760900497436523,3.8502700328826904,3.8592000007629395,0
2019-05-24,3.848400115966797,3.851099967956543,3.8262500762939453,3.847749948501587,0
2019-05-27,3.830199956893921,3.837899923324585,3.8261001110076904,3.831199884414673,0
2019-05-28,3.8315999507904053,3.8458099365234375,3.830549955368042,3.831660032272339,0
2019-05-29,3.846950054168701,3.862449884414673,3.8452000617980957,3.846750020980835,0
2019-05-30,3.85509991645813,3.857069969177246,3.847450017929077,3.854599952697754,0
2019-05-31,3.8525099754333496,3.8552000522613525,3.8319499492645264,3.8529000282287598,0
2019-06-03,3.831549882888794,3.8353500366210938,3.8164000511169434,3.8316500186920166,0
2019-06-04,3.8053998947143555,3.811800003051758,3.7956600189208984,3.806299924850464,0
2019-06-05,3.80049991607666,3.8035600185394287,3.782449960708618,3.8000500202178955,0
2019-06-06,3.8089001178741455,3.8122000694274902,3.781049966812134,3.8084099292755127,0
2019-06-07,3.788019895553589,3.7988100051879883,3.7529799938201904,3.7892000675201416,0
2019-06-10,3.761699914932251,3.776700019836426,3.7602500915527344,3.762049913406372,0
2019-06-11,3.764899969100952,3.7744500637054443,3.759550094604492,3.764630079269409,0
2019-06-12,3.7620999813079834,3.7665998935699463,3.755110025405884,3.7620201110839844,0
2019-06-13,3.7679998874664307,3.776400089263916,3.764039993286133,3.7674500942230225,0
2019-06-14,3.7725000381469727,3.795300006866455,3.7674200534820557,3.7727999687194824,0
2019-06-17,3.7946999073028564,3.800100088119507,3.787750005722046,3.7950499057769775,0
2019-06-18,3.7957000732421875,3.8122000694274902,3.790479898452759,3.795959949493408,0
2019-06-19,3.802799940109253,3.810699939727783,3.8004000186920166,3.802799940109253,0
2019-06-20,3.7923998832702637,3.791749954223633,3.7595999240875244,3.7916200160980225,0
2019-06-21,3.7642500400543213,3.773400068283081,3.7527499198913574,3.765049934387207,0
2019-06-24,3.7353498935699463,3.7410800457000732,3.729219913482666,3.7357499599456787,0
2019-06-25,3.729099988937378,3.739500045776367,3.7256600856781006,3.7297000885009766,0
2019-06-26,3.7425999641418457,3.7555999755859375,3.7395100593566895,3.742500066757202,0
2019-06-27,3.744649887084961,3.75314998626709,3.7367000579833984,3.7446000576019287,0
2019-06-28,3.737879991531372,3.742000102996826,3.7276899814605713,3.73799991607666,0
2019-07-01,3.734100103378296,3.751499891281128,3.7322499752044678,3.7344000339508057,0
2019-07-02,3.755500078201294,3.761899948120117,3.7465500831604004,3.755729913711548,0
2019-07-03,3.757699966430664,3.765500068664551,3.748850107192993,3.7583999633789062,0
2019-07-04,3.755199909210205,3.7636001110076904,3.7522499561309814,3.755009889602661,0
2019-07-05,3.757659912109375,3.795099973678589,3.7579500675201416,3.757999897003174,0
